Rank,Produto,Preço,URL
1,,Sem preço,https://www.zoom.com.brjavascript:void(0)
2,,Sem preço,https://www.zoom.com.brjavascript:void(0)
3,Celulares,Sem preço,https://www.zoom.com.br/celular/iphone
4,Celulares,Sem preço,https://www.zoom.com.br/celular/iphone
5,iPhone,Sem preço,https://www.zoom.com.br/celular/iphone
6,iPhone,Sem preço,https://www.zoom.com.br/celular/iphone
7,Sem título,Sem preço,
8,TV 32 polegadas,Sem preço,https://www.zoom.com.br/tv/tamanho-32-polegadas
9,TV 32 polegadas,Sem preço,https://www.zoom.com.br/tv/tamanho-32-polegadas
10,Sem título,Sem preço,
11,Lavadora Brastemp,Sem preço,https://www.zoom.com.br/lavadora-roupas/brastemp
12,Lavadora Brastemp,Sem preço,https://www.zoom.com.br/lavadora-roupas/brastemp
13,Sem título,Sem preço,
14,Notebook  Samsung,Sem preço,https://www.zoom.com.br/notebook/samsung
15,Notebook  Samsung,Sem preço,https://www.zoom.com.br/notebook/samsung
16,Sem título,Sem preço,
17,Geladeira Electrolux,Sem preço,https://www.zoom.com.br/geladeira/electrolux
18,Geladeira Electrolux,Sem preço,https://www.zoom.com.br/geladeira/electrolux
19,Sem título,Sem preço,
20,Ar-condicionado 7.500 BTUs,Sem preço,https://www.zoom.com.br/ar-condicionado/7-500-btus
21,Ar-condicionado 7.500 BTUs,Sem preço,https://www.zoom.com.br/ar-condicionado/7-500-btus
22,Sem título,Sem preço,
23,Fogão 4 bocas,Sem preço,https://www.zoom.com.br/fogao/4-bocas
24,Fogão 4 bocas,Sem preço,https://www.zoom.com.br/fogao/4-bocas
25,Sem título,Sem preço,
26,Playstation 4,Sem preço,https://www.zoom.com.br/console-de-video-game/playstation-4
27,Playstation 4,Sem preço,https://www.zoom.com.br/console-de-video-game/playstation-4
28,Sem título,Sem preço,
29,Automóveis e Veículos,Sem preço,https://www.zoom.com.br/automoveis-e-veiculos
30,Automóveis e Veículos,Sem preço,https://www.zoom.com.br/automoveis-e-veiculos
31,Sem título,Sem preço,
32,Sem título,Sem preço,
33,Todos os artigos,Sem preço,https://www.zoom.com.br/deumzoom
34,Todos os artigos,Sem preço,https://www.zoom.com.br/deumzoom
35,Sem título,Sem preço,
36,Lojas em destaque,Sem preço,https://www.zoom.com.br/cupom-de-desconto/amazon-1582
37,Lojas em destaque,Sem preço,https://www.zoom.com.br/cupom-de-desconto/amazon-1582
38,Cashback na Amazon,Sem preço,https://www.zoom.com.br/cupom-de-desconto/amazon-1582
39,Cashback na Amazon,Sem preço,https://www.zoom.com.br/cupom-de-desconto/amazon-1582
40,Sem título,Sem preço,
41,Sem título,Sem preço,
42,Celulares,Sem preço,https://www.zoom.com.br/celular/iphone
43,iPhone,Sem preço,https://www.zoom.com.br/celular/iphone
44,TV 32 polegadas,Sem preço,https://www.zoom.com.br/tv/tamanho-32-polegadas
45,Lavadora Brastemp,Sem preço,https://www.zoom.com.br/lavadora-roupas/brastemp
46,Notebook  Samsung,Sem preço,https://www.zoom.com.br/notebook/samsung
47,Geladeira Electrolux,Sem preço,https://www.zoom.com.br/geladeira/electrolux
48,Ar-condicionado 7.500 BTUs,Sem preço,https://www.zoom.com.br/ar-condicionado/7-500-btus
49,Fogão 4 bocas,Sem preço,https://www.zoom.com.br/fogao/4-bocas
50,Playstation 4,Sem preço,https://www.zoom.com.br/console-de-video-game/playstation-4
51,Automóveis e Veículos,Sem preço,https://www.zoom.com.br/automoveis-e-veiculos
52,Cashback na Amazon,Sem preço,https://www.zoom.com.br/cupom-de-desconto/amazon-1582
53,"1ºNotebook Gamer Lenovo LOQ-e 15IAX9E Intel Core i5 12450HX 15,6"" 16GB SSD 512GB Windows 11 83ME0007BR5 (1)Menor preço via Magazine LuizaR$ 4.250,16até 10x de R$ 494,21
            
          Frete Grátis 8% de volta na loja todaCompare entre 17 lojas","R$ 4.250,16",https://www.zoom.com.br/notebook/notebook-gamer-lenovo-83me0007br-intel-core-i5-12450h-15-16gb-ssd-512-gb-windows-11-geforce-rtx-3050?_lc=88&searchterm=notebook
54,"1ºNotebook Gamer Lenovo LOQ-e 15IAX9E Intel Core i5 12450HX 15,6"" 16GB SSD 512GB Windows 11 83ME0007BR5 (1)Menor preço via Magazine LuizaR$ 4.250,16até 10x de R$ 494,21
            
          Frete Grátis 8% de volta na loja todaCompare entre 17 lojas","R$ 4.250,16",https://www.zoom.com.br/notebook/notebook-gamer-lenovo-83me0007br-intel-core-i5-12450h-15-16gb-ssd-512-gb-windows-11-geforce-rtx-3050?_lc=88&searchterm=notebook
55,Sem título,Sem preço,
56,Sem título,Sem preço,
57,"Notebook Gamer Lenovo LOQ-e 15IAX9E Intel Core i5 12450HX 15,6"" 16GB SSD 512GB Windows 11 83ME0007BR","R$ 4.250,16",
58,Sem título,Sem preço,
59,"Notebook Gamer Lenovo LOQ-e 15IAX9E Intel Core i5 12450HX 15,6"" 16GB SSD 512GB Windows 11 83ME0007BR","R$ 4.250,16",
60,"Notebook Gamer Lenovo LOQ-e 15IAX9E Intel Core i5 12450HX 15,6"" 16GB SSD 512GB Windows 11 83ME0007BR",Sem preço,
61,Sem título,Sem preço,
62,Sem título,Sem preço,
63,"2ºIndicaNotebook Lenovo IdeaPad 1i Intel Core i5 1235U 15,6"" 8GB SSD 512GB Windows 11 82VY000QBR4.7 (172)Menor preço via PontoR$ 2.782,00até 12x de R$ 257,59
            
          Frete Grátis 0.5% de volta na loja todaCompare entre 16 lojas","R$ 2.782,00",https://www.zoom.com.br/notebook/notebook-lenovo-ideapad-1i-82vy000qbr-intel-core-i5-1235u-15-6-8gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
64,"2ºIndicaNotebook Lenovo IdeaPad 1i Intel Core i5 1235U 15,6"" 8GB SSD 512GB Windows 11 82VY000QBR4.7 (172)Menor preço via PontoR$ 2.782,00até 12x de R$ 257,59
            
          Frete Grátis 0.5% de volta na loja todaCompare entre 16 lojas","R$ 2.782,00",https://www.zoom.com.br/notebook/notebook-lenovo-ideapad-1i-82vy000qbr-intel-core-i5-1235u-15-6-8gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
65,Sem título,Sem preço,
66,Sem título,Sem preço,
67,"Notebook Lenovo IdeaPad 1i Intel Core i5 1235U 15,6"" 8GB SSD 512GB Windows 11 82VY000QBR","R$ 2.782,00",
68,Sem título,Sem preço,
69,"Notebook Lenovo IdeaPad 1i Intel Core i5 1235U 15,6"" 8GB SSD 512GB Windows 11 82VY000QBR","R$ 2.782,00",
70,"Notebook Lenovo IdeaPad 1i Intel Core i5 1235U 15,6"" 8GB SSD 512GB Windows 11 82VY000QBR",Sem preço,
71,Sem título,Sem preço,
72,Sem título,Sem preço,
73,"3ºIndicaNotebook Dell Inspiron 15 3520 Intel Core i3 1215U 15,6"" 8GB SSD 512GB Windows 11 i3520wadl1004w4.4 (79)Menor preço via AmazonR$ 2.849,00Compare entre 4 lojas","R$ 2.849,00",https://www.zoom.com.br/notebook/notebook-dell-inspiron-15-3520-i3520wadl1004w-intel-core-i3-1215u-15-6-8gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
74,"3ºIndicaNotebook Dell Inspiron 15 3520 Intel Core i3 1215U 15,6"" 8GB SSD 512GB Windows 11 i3520wadl1004w4.4 (79)Menor preço via AmazonR$ 2.849,00Compare entre 4 lojas","R$ 2.849,00",https://www.zoom.com.br/notebook/notebook-dell-inspiron-15-3520-i3520wadl1004w-intel-core-i3-1215u-15-6-8gb-ssd-512-gb-windows-11?_lc=88&searchterm=notebook
75,Sem título,Sem preço,
76,Sem título,Sem preço,
77,"Notebook Dell Inspiron 15 3520 Intel Core i3 1215U 15,6"" 8GB SSD 512GB Windows 11 i3520wadl1004w","R$ 2.849,00",
78,Sem título,Sem preço,
79,"Notebook Dell Inspiron 15 3520 Intel Core i3 1215U 15,6"" 8GB SSD 512GB Windows 11 i3520wadl1004w","R$ 2.849,00",
80,"Notebook Dell Inspiron 15 3520 Intel Core i3 1215U 15,6"" 8GB SSD 512GB Windows 11 i3520wadl1004w",Sem preço,
81,Sem título,Sem preço,
82,Sem título,Sem preço,
83,"4ºIndicaNotebook Asus Vivobook Go 15 Intel Celeron Dual Core N4500 15,6"" 4GB SSD 128GB Windows 11 E510KA-BR808WS4.3 (126)Menor preço via ExtraR$ 1.613,70até 10x de R$ 179,30
            
           5% de volta na loja todaCompare entre 14 lojas","R$ 1.613,70",https://www.zoom.com.br/notebook/notebook-asus-vivobook-go-e510ka-br808ws-intel-celeron-dual-core-n4500-15-6-4gb-ssd-128-gb-windows-11?_lc=88&searchterm=notebook
84,"4ºIndicaNotebook Asus Vivobook Go 15 Intel Celeron Dual Core N4500 15,6"" 4GB SSD 128GB Windows 11 E510KA-BR808WS4.3 (126)Menor preço via ExtraR$ 1.613,70até 10x de R$ 179,30
            
           5% de volta na loja todaCompare entre 14 lojas","R$ 1.613,70",https://www.zoom.com.br/notebook/notebook-asus-vivobook-go-e510ka-br808ws-intel-celeron-dual-core-n4500-15-6-4gb-ssd-128-gb-windows-11?_lc=88&searchterm=notebook
85,Sem título,Sem preço,
86,Sem título,Sem preço,
87,"Notebook Asus Vivobook Go 15 Intel Celeron Dual Core N4500 15,6"" 4GB SSD 128GB Windows 11 E510KA-BR808WS","R$ 1.613,70",
88,Sem título,Sem preço,
89,"Notebook Asus Vivobook Go 15 Intel Celeron Dual Core N4500 15,6"" 4GB SSD 128GB Windows 11 E510KA-BR808WS","R$ 1.613,70",
90,"Notebook Asus Vivobook Go 15 Intel Celeron Dual Core N4500 15,6"" 4GB SSD 128GB Windows 11 E510KA-BR808WS",Sem preço,
91,Sem título,Sem preço,
92,Sem título,Sem preço,
93,"5ºIndicaNotebook Acer Aspire 5 Intel Core i5 12450H 8GB RAM 256GB SSD Windows 11 Tela Full HD 15.6 A515-57-55B84.7 (865)Menor preço via AmericanasR$ 2.885,00até 8x de R$ 400,69
            
          Compare entre 7 lojas","R$ 2.885,00",https://www.zoom.com.br/notebook/notebook-acer-aspire-5-a515-57-55b8-intel-core-i5-12450h-15-6-8gb-ssd-256-gb-windows-11?_lc=88&searchterm=notebook
94,"5ºIndicaNotebook Acer Aspire 5 Intel Core i5 12450H 8GB RAM 256GB SSD Windows 11 Tela Full HD 15.6 A515-57-55B84.7 (865)Menor preço via AmericanasR$ 2.885,00até 8x de R$ 400,69
            
          Compare entre 7 lojas","R$ 2.885,00",https://www.zoom.com.br/notebook/notebook-acer-aspire-5-a515-57-55b8-intel-core-i5-12450h-15-6-8gb-ssd-256-gb-windows-11?_lc=88&searchterm=notebook
95,Sem título,Sem preço,
96,Sem título,Sem preço,
97,Notebook Acer Aspire 5 Intel Core i5 12450H 8GB RAM 256GB SSD Windows 11 Tela Full HD 15.6 A515-57-55B8,"R$ 2.885,00",
98,Sem título,Sem preço,
99,Notebook Acer Aspire 5 Intel Core i5 12450H 8GB RAM 256GB SSD Windows 11 Tela Full HD 15.6 A515-57-55B8,"R$ 2.885,00",
100,Notebook Acer Aspire 5 Intel Core i5 12450H 8GB RAM 256GB SSD Windows 11 Tela Full HD 15.6 A515-57-55B8,Sem preço,
101,Sem título,Sem preço,
102,Sem título,Sem preço,
103,"6ºNotebook Acer Aspire 5 Ryzen 7-5700U 15,6? 12GB SSD 512GB Linux A515-45-R36L4.7 (897)Menor preço via Casas BahiaR$ 3.099,00até 12x de R$ 258,25
            
          Frete Grátis 10% de volta na loja todaCompare entre 6 lojas","R$ 3.099,00",https://www.zoom.com.br/notebook/notebook-acer-aspire-5-ryzen-7-5700u-15-6-12gb-ssd-512gb-linux-a515-45-r36l?_lc=88&searchterm=notebook
104,"6ºNotebook Acer Aspire 5 Ryzen 7-5700U 15,6? 12GB SSD 512GB Linux A515-45-R36L4.7 (897)Menor preço via Casas BahiaR$ 3.099,00até 12x de R$ 258,25
            
          Frete Grátis 10% de volta na loja todaCompare entre 6 lojas","R$ 3.099,00",https://www.zoom.com.br/notebook/notebook-acer-aspire-5-ryzen-7-5700u-15-6-12gb-ssd-512gb-linux-a515-45-r36l?_lc=88&searchterm=notebook
105,Sem título,Sem preço,
106,Sem título,Sem preço,
107,"Notebook Acer Aspire 5 Ryzen 7-5700U 15,6? 12GB SSD 512GB Linux A515-45-R36L","R$ 3.099,00",
108,Sem título,Sem preço,
109,"Notebook Acer Aspire 5 Ryzen 7-5700U 15,6? 12GB SSD 512GB Linux A515-45-R36L","R$ 3.099,00",
110,"Notebook Acer Aspire 5 Ryzen 7-5700U 15,6? 12GB SSD 512GB Linux A515-45-R36L",Sem preço,
111,Sem título,Sem preço,
